,Prediction,Actual
0,Increase,Increase
1,Increase,Increase
2,Increase,Increase
3,Increase,Increase
4,Increase,Increase
5,Increase,Increase
6,Increase,Increase
7,Increase,Increase
8,Increase,Increase
9,Increase,Increase
10,Increase,Increase
11,Increase,Increase
12,Increase,Increase
13,Increase,Increase
14,Increase,Increase
15,Decrease,Decrease
16,Increase,Increase
17,Increase,Increase
18,Increase,Increase
19,Increase,Increase
20,Increase,Increase
21,Increase,Increase
22,Decrease,Decrease
23,Increase,Increase
24,Increase,Increase
25,Increase,Increase
26,Increase,Increase
27,Increase,Increase
28,Increase,Increase
29,Increase,Increase
30,Increase,Increase
31,Increase,Increase
32,Increase,Increase
33,Increase,Increase
34,Decrease,Decrease
35,Increase,Increase
36,Increase,Increase
37,Increase,Increase
38,Decrease,Decrease
39,Increase,Increase
40,Increase,Increase
41,Increase,Increase
42,Increase,Increase
43,Increase,Increase
44,Increase,Increase
45,Increase,Increase
46,Increase,Increase
47,Increase,Increase
48,Increase,Increase
49,Increase,Increase
50,Increase,Increase
51,Decrease,Decrease
52,Decrease,Decrease
53,Increase,Increase
54,Increase,Increase
55,Decrease,Decrease
56,Increase,Increase
57,Increase,Increase
58,Increase,Increase
59,Increase,Increase
60,Decrease,Decrease
61,Decrease,Decrease
62,Increase,Increase
63,Decrease,Decrease
64,Decrease,Decrease
65,Increase,Increase
66,Increase,Increase
67,Decrease,Decrease
68,Increase,Increase
69,Increase,Increase
70,Increase,Increase
71,Increase,Increase
72,Increase,Increase
73,Increase,Increase
74,Increase,Increase
75,Increase,Increase
76,Increase,Increase
77,Decrease,Decrease
78,Decrease,Decrease
79,Increase,Increase
80,Increase,Increase
81,Decrease,Decrease
82,Decrease,Decrease
83,Increase,Increase
84,Decrease,Decrease
85,Decrease,Decrease
86,Increase,Increase
87,Increase,Increase
88,Increase,Increase
89,Increase,Increase
90,Increase,Increase
91,Increase,Increase
92,Increase,Increase
93,Increase,Increase
94,Increase,Increase
95,Increase,Increase
96,Increase,Increase
97,Increase,Increase
98,Increase,Increase
99,Increase,Increase
100,Increase,Increase
101,Increase,Increase
102,Decrease,Decrease
103,Increase,Increase
104,Decrease,Decrease
105,Increase,Increase
106,Increase,Increase
107,Increase,Increase
108,Increase,Increase
109,Increase,Increase
110,Increase,Increase
111,Increase,Increase
112,Increase,Increase
113,Increase,Increase
114,Increase,Increase
115,Increase,Increase
116,Increase,Increase
117,Increase,Increase
118,Increase,Increase
119,Increase,Increase
120,Increase,Increase
121,Increase,Increase
122,Increase,Increase
123,Increase,Increase
124,Increase,Increase
125,Increase,Increase
126,Increase,Increase
127,Increase,Increase
128,Increase,Increase
129,Increase,Increase
130,Increase,Increase
131,Increase,Increase
132,Decrease,Decrease
133,Decrease,Decrease
134,Decrease,Decrease
